UNIT_STATUS,LATITUDE,LONGITUDE,UTC_TIME,INCIDENT_NBR
ENR,34.005470,-118.428505,24-DEC-17 11.29.08.000000 AM UTC,201712240180
ENR,34.005512,-118.428490,24-DEC-17 11.29.11.000000 AM UTC,201712240180
ENR,34.005550,-118.428673,24-DEC-17 11.29.42.000000 AM UTC,201712240180
ENR,34.005669,-118.428825,24-DEC-17 11.30.13.000000 AM UTC,201712240180
ENR,34.005692,-118.428757,24-DEC-17 11.30.44.000000 AM UTC,201712240180
ENR,34.005665,-118.428787,24-DEC-17 11.31.15.000000 AM UTC,201712240180
ENR,34.005085,-118.428368,24-DEC-17 11.31.46.000000 AM UTC,201712240180
ENR,34.002441,-118.426476,24-DEC-17 11.32.17.000000 AM UTC,201712240180
ENR,34.001392,-118.428497,24-DEC-17 11.32.38.000000 AM UTC,201712240180
ONS,34.001392,-118.428497,24-DEC-17 11.32.38.000000 AM UTC,201712240180
ONS,34.002243,-118.429001,24-DEC-17 11.42.18.000000 AM UTC,201712240180
ONS,34.002216,-118.429092,24-DEC-17 11.52.19.000000 AM UTC,201712240180
ONS,34.002239,-118.429100,24-DEC-17 12.02.20.000000 PM UTC,201712240180
ONS,34.005508,-118.428154,24-DEC-17 12.05.23.000000 PM UTC,201712240180
ENR,34.005798,-118.428474,24-DEC-17 01.30.28.000000 PM UTC,201712240242
ENR,34.005814,-118.428467,24-DEC-17 01.30.31.000000 PM UTC,201712240242
ENR,34.005779,-118.428558,24-DEC-17 01.31.02.000000 PM UTC,201712240242
ENR,34.005703,-118.428574,24-DEC-17 01.31.33.000000 PM UTC,201712240242
ENR,34.005276,-118.428429,24-DEC-17 01.32.04.000000 PM UTC,201712240242
ENR,34.001968,-118.425705,24-DEC-17 01.32.35.000000 PM UTC,201712240242
ENR,33.999214,-118.423470,24-DEC-17 01.33.06.000000 PM UTC,201712240242
ENR,33.996277,-118.420052,24-DEC-17 01.33.37.000000 PM UTC,201712240242
