UNIT_STATUS,LATITUDE,LONGITUDE,UTC_TIME,INCIDENT_NBR,UNIT_NAME
ENR,34.161175,-118.500633,26-FEB-18 02.23.09.000000 PM UTC,201802260217,E83
ENR,34.161163,-118.500618,26-FEB-18 02.23.16.000000 PM UTC,201802260217,E83
ENR,34.161201,-118.500618,26-FEB-18 02.23.47.000000 PM UTC,201802260217,E83
ENR,34.161194,-118.500694,26-FEB-18 02.24.18.000000 PM UTC,201802260217,E83
ENR,34.161182,-118.500694,26-FEB-18 02.24.49.000000 PM UTC,201802260217,E83
ENR,34.161175,-118.501045,26-FEB-18 02.25.20.000000 PM UTC,201802260217,E83
ENR,34.165184,-118.501083,26-FEB-18 02.25.51.000000 PM UTC,201802260217,E83
ENR,34.171326,-118.501083,26-FEB-18 02.26.22.000000 PM UTC,201802260217,E83
ENR,34.171082,-118.498543,26-FEB-18 02.26.53.000000 PM UTC,201802260217,E83
ENR,34.167522,-118.488548,26-FEB-18 02.27.55.000000 PM UTC,201802260217,E83
ENR,34.168758,-118.483482,26-FEB-18 02.28.26.000000 PM UTC,201802260217,E83
ENR,34.169449,-118.480659,26-FEB-18 02.28.48.000000 PM UTC,201802260217,E83
ONS,34.169449,-118.480659,26-FEB-18 02.28.48.000000 PM UTC,201802260217,E83
ONS,34.169525,-118.480415,26-FEB-18 02.38.27.000000 PM UTC,201802260217,E83
ONS,34.169518,-118.480400,26-FEB-18 02.48.28.000000 PM UTC,201802260217,E83
ONS,34.169514,-118.480492,26-FEB-18 02.58.29.000000 PM UTC,201802260217,E83
ONS,34.164440,-118.492470,26-FEB-18 03.08.30.000000 PM UTC,201802260217,E83
ONS,34.161083,-118.500450,26-FEB-18 03.17.53.000000 PM UTC,201802260217,E83
ENR,34.161049,-118.500687,26-FEB-18 05.59.27.000000 PM UTC,201802260475,E83
ENR,34.161060,-118.500725,26-FEB-18 05.59.48.000000 PM UTC,201802260475,E83
ENR,34.161083,-118.500748,26-FEB-18 06.00.19.000000 PM UTC,201802260475,E83
ENR,34.160961,-118.500786,26-FEB-18 06.00.50.000000 PM UTC,201802260475,E83
ENR,34.161034,-118.500702,26-FEB-18 06.01.21.000000 PM UTC,201802260475,E83
ENR,34.160828,-118.501114,26-FEB-18 06.01.52.000000 PM UTC,201802260475,E83
ENR,34.158867,-118.499512,26-FEB-18 06.02.23.000000 PM UTC,201802260475,E83
ENR,34.157768,-118.494324,26-FEB-18 06.02.54.000000 PM UTC,201802260475,E83
ENR,34.155502,-118.492340,26-FEB-18 06.03.25.000000 PM UTC,201802260475,E83
ENR,34.151241,-118.492905,26-FEB-18 06.03.56.000000 PM UTC,201802260475,E83
ENR,34.149292,-118.494873,26-FEB-18 06.04.27.000000 PM UTC,201802260475,E83
ENR,34.146816,-118.497849,26-FEB-18 06.04.58.000000 PM UTC,201802260475,E83
ENR,34.146301,-118.501282,26-FEB-18 06.05.29.000000 PM UTC,201802260475,E83
ENR,34.144367,-118.501488,26-FEB-18 06.06.01.000000 PM UTC,201802260475,E83
ENR,34.144661,-118.503944,26-FEB-18 06.06.28.000000 PM UTC,201802260475,E83
ONS,34.144661,-118.503944,26-FEB-18 06.06.28.000000 PM UTC,201802260475,E83
ONS,34.144527,-118.504044,26-FEB-18 06.16.02.000000 PM UTC,201802260475,E83
ONS,34.144394,-118.501678,26-FEB-18 06.18.20.000000 PM UTC,201802260475,E83
ENR,34.161118,-118.500694,26-FEB-18 06.54.43.000000 PM UTC,201802260564,E83
ENR,34.161121,-118.500725,26-FEB-18 06.54.56.000000 PM UTC,201802260564,E83
ENR,34.161114,-118.500732,26-FEB-18 06.55.27.000000 PM UTC,201802260564,E83
ENR,34.161232,-118.500748,26-FEB-18 06.56.29.000000 PM UTC,201802260564,E83
ENR,34.161251,-118.500763,26-FEB-18 06.57.00.000000 PM UTC,201802260564,E83
ENR,34.161194,-118.500755,26-FEB-18 06.57.31.000000 PM UTC,201802260564,E83
ENR,34.161804,-118.501060,26-FEB-18 06.58.02.000000 PM UTC,201802260564,E83
ENR,34.167061,-118.501053,26-FEB-18 06.58.33.000000 PM UTC,201802260564,E83
ENR,34.172142,-118.500999,26-FEB-18 06.59.04.000000 PM UTC,201802260564,E83
ENR,34.177280,-118.501083,26-FEB-18 06.59.35.000000 PM UTC,201802260564,E83
ENR,34.181828,-118.500954,26-FEB-18 07.00.06.000000 PM UTC,201802260564,E83
ENR,34.181278,-118.499344,26-FEB-18 07.00.37.000000 PM UTC,201802260564,E83
ENR,34.180508,-118.497688,26-FEB-18 07.01.08.000000 PM UTC,201802260564,E83
ENR,34.180141,-118.496933,26-FEB-18 07.01.28.000000 PM UTC,201802260564,E83
ONS,34.180141,-118.496933,26-FEB-18 07.01.28.000000 PM UTC,201802260564,E83
