RECID,TIMESTMP,CON_ID,DET_ID,TAG_ID,ERRORCODE,ERRORMSG,LATENESS,SYSID,VEH_NUM,EVFLAG
1479,11/22/2017 14:04:11,0,730,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0
1480,11/22/2017 14:04:11,0,730,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0
1481,11/22/2017 14:04:11,0,730,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0
1482,11/22/2017 14:04:11,0,730,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0
1483,11/22/2017 14:04:11,312,730,5614,68111,ISSUED: Start prty(EV# 4).,0,2,E-998,0
1690,11/22/2017 14:08:10,0,0,5614,67101,MARKED: Hot/Run List deleted by Timeout.,0,2,E-998,0
1691,11/22/2017 14:08:14,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0
14156,11/22/2017 16:46:59,0,733,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0
14157,11/22/2017 16:46:59,0,733,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0
14158,11/22/2017 16:46:59,0,733,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0
14159,11/22/2017 16:46:59,0,733,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0
14160,11/22/2017 16:46:59,312,733,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0
14235,11/22/2017 16:47:40,0,734,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0
14236,11/22/2017 16:47:40,0,734,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0
14237,11/22/2017 16:47:40,0,734,5614,67097,CHANGED: Run List.,0,2,E-998,0
14238,11/22/2017 16:47:40,0,734,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0
14239,11/22/2017 16:47:40,0,734,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0
14240,11/22/2017 16:47:40,314,734,5614,68111,ISSUED: Start prty(EV# 3).,0,2,E-998,0
14326,11/22/2017 16:48:27,0,737,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0
14327,11/22/2017 16:48:27,0,737,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0
14328,11/22/2017 16:48:27,0,737,5614,67097,CHANGED: Run List.,0,2,E-998,0
14329,11/22/2017 16:48:27,0,737,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0
14330,11/22/2017 16:48:27,0,737,5614,68107,"SUCCESS: Dir. ""W"" determined at end point.",0,2,E-998,0
14331,11/22/2017 16:48:27,313,737,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0
14489,11/22/2017 16:50:00,0,741,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0
14490,11/22/2017 16:50:00,0,741,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0
14491,11/22/2017 16:50:00,0,741,5614,67085,NO MATCH: Route Table.,0,2,E-998,0
14492,11/22/2017 16:50:00,0,741,5614,67084,NO MATCH: Foreign Rte Table(Det:741;Sys:2).,0,2,E-998,0
14911,11/22/2017 16:53:56,0,0,5614,67101,MARKED: Hot/Run List deleted by Timeout.,0,2,E-998,0
14915,11/22/2017 16:54:01,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0
42248,11/27/2017 10:39:50,0,730,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0
42249,11/27/2017 10:39:50,0,730,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0
42250,11/27/2017 10:39:50,0,730,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0
42251,11/27/2017 10:39:50,0,730,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0
42252,11/27/2017 10:39:50,312,730,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0
42268,11/27/2017 10:40:00,0,830,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0
42269,11/27/2017 10:40:00,0,830,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0
42270,11/27/2017 10:40:00,0,830,5614,67097,CHANGED: Run List.,0,2,E-998,0
42271,11/27/2017 10:40:00,0,830,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0
42272,11/27/2017 10:40:00,0,830,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0
42273,11/27/2017 10:40:00,311,830,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0
42283,11/27/2017 10:40:19,0,828,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0
42284,11/27/2017 10:40:19,310,828,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0
42299,11/27/2017 10:40:34,0,726,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0
42300,11/27/2017 10:40:34,310,726,5614,68112,ISSUED: Cancel prty(EV# 1).,0,2,E-998,0
42303,11/27/2017 10:40:38,0,724,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0
