"RECID","TIMESTMP","CON_ID","DET_ID","TAG_ID","ERRORCODE","ERRORMSG","LATENESS","SYSID","VEH_NUM","EVFLAG"
"80015","2017-11-27 23:21:59","0","733","6598","65792","RECEIVED: Tag ID.","0","2","60654","0"
"80016","2017-11-27 23:21:59","0","733","6598","67095","CREATED: Hot/Run List.","0","2","60654","0"
"80017","2017-11-27 23:21:59","0","733","6598","65794","RECEIVED: Resubmitted Tag ID.","0","2","60654","0"
"80018","2017-11-27 23:21:59","0","733","6598","68106","SUCCESS: Dir. ""W"" determined from uni-dir DET#.","0","2","60654","0"
"80019","2017-11-27 23:21:59","312","733","6598","68111","ISSUED: Start prty(EV# 7).","0","2","60654","0"
"80027","2017-11-27 23:22:30","0","734","6598","65792","RECEIVED: Tag ID.","0","2","60654","0"
"80028","2017-11-27 23:22:30","0","734","6598","68098","ERROR: Det ID does not exist along current dir.","0","2","60654","0"
"80029","2017-11-27 23:22:30","0","734","6598","67097","CHANGED: Run List.","0","2","60654","0"
"80030","2017-11-27 23:22:30","0","734","6598","65794","RECEIVED: Resubmitted Tag ID.","0","2","60654","0"
"80031","2017-11-27 23:22:30","0","734","6598","68106","SUCCESS: Dir. ""E"" determined from uni-dir DET#.","0","2","60654","0"
"80032","2017-11-27 23:22:30","314","734","6598","68111","ISSUED: Start prty(EV# 0).","0","2","60654","0"
"80035","2017-11-27 23:22:53","0","737","6598","65792","RECEIVED: Tag ID.","0","2","60654","0"
"80036","2017-11-27 23:22:53","0","737","6598","68098","ERROR: Det ID does not exist along current dir.","0","2","60654","0"
"80037","2017-11-27 23:22:53","0","737","6598","67097","CHANGED: Run List.","0","2","60654","0"
"80038","2017-11-27 23:22:53","0","737","6598","65794","RECEIVED: Resubmitted Tag ID.","0","2","60654","0"
"80039","2017-11-27 23:22:53","0","737","6598","68107","SUCCESS: Dir. ""W"" determined at end point.","0","2","60654","0"
"80040","2017-11-27 23:22:53","313","737","6598","68111","ISSUED: Start prty(EV# 5).","0","2","60654","0"
"80047","2017-11-27 23:23:05","0","738","6598","65792","RECEIVED: Tag ID.","0","2","60654","0"
"80048","2017-11-27 23:23:05","0","738","6598","68098","ERROR: Det ID does not exist along current dir.","0","2","60654","0"
"80049","2017-11-27 23:23:05","0","738","6598","67085","NO MATCH: Route Table.","0","2","60654","0"
"80050","2017-11-27 23:23:05","0","738","6598","67084","NO MATCH: Foreign Rte Table(Det:738;Sys:2).","0","2","60654","0"
"80054","2017-11-27 23:23:30","0","742","6598","65792","RECEIVED: Tag ID.","0","2","60654","0"
"80055","2017-11-27 23:23:30","0","742","6598","68098","ERROR: Det ID does not exist along current dir.","0","2","60654","0"
"80056","2017-11-27 23:23:30","0","742","6598","67085","NO MATCH: Route Table.","0","2","60654","0"
"80057","2017-11-27 23:23:30","0","742","6598","67084","NO MATCH: Foreign Rte Table(Det:742;Sys:2).","0","2","60654","0"
