RECID,TIMESTMP,CON_ID,DET_ID,TAG_ID,ERRORCODE,ERRORMSG,LATENESS,SYSID,VEH_NUM,EVFLAG,lat,lon
1479,11/22/2017 14:04,0,730,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.006235,-118.429199
1480,11/22/2017 14:04,0,730,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,34.006235,-118.429199
1481,11/22/2017 14:04,0,730,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.006235,-118.429199
1482,11/22/2017 14:04,0,730,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,34.006235,-118.429199
1483,11/22/2017 14:04,312,730,5614,68111,ISSUED: Start prty(EV# 4).,0,2,E-998,0,34.006235,-118.429199
1690,11/22/2017 14:08,0,0,5614,67101,MARKED: Hot/Run List deleted by Timeout.,0,2,E-998,0,#N/A,#N/A
1691,11/22/2017 14:08,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
14156,11/22/2017 16:46,0,733,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.006256,-118.428796
14157,11/22/2017 16:46,0,733,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,34.006256,-118.428796
14158,11/22/2017 16:46,0,733,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.006256,-118.428796
14159,11/22/2017 16:46,0,733,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0,34.006256,-118.428796
14160,11/22/2017 16:46,312,733,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,34.006256,-118.428796
14235,11/22/2017 16:47,0,734,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.008716,-118.42445
14236,11/22/2017 16:47,0,734,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,34.008716,-118.42445
14237,11/22/2017 16:47,0,734,5614,67097,CHANGED: Run List.,0,2,E-998,0,34.008716,-118.42445
14238,11/22/2017 16:47,0,734,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.008716,-118.42445
14239,11/22/2017 16:47,0,734,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,34.008716,-118.42445
14240,11/22/2017 16:47,314,734,5614,68111,ISSUED: Start prty(EV# 3).,0,2,E-998,0,34.008716,-118.42445
14326,11/22/2017 16:48,0,737,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,#N/A,#N/A
14327,11/22/2017 16:48,0,737,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,#N/A,#N/A
14328,11/22/2017 16:48,0,737,5614,67097,CHANGED: Run List.,0,2,E-998,0,#N/A,#N/A
14329,11/22/2017 16:48,0,737,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,#N/A,#N/A
14330,11/22/2017 16:48,0,737,5614,68107,"SUCCESS: Dir. ""W"" determined at end point.",0,2,E-998,0,#N/A,#N/A
14331,11/22/2017 16:48,313,737,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,#N/A,#N/A
14489,11/22/2017 16:50,0,741,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,#N/A,#N/A
14490,11/22/2017 16:50,0,741,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,#N/A,#N/A
14491,11/22/2017 16:50,0,741,5614,67085,NO MATCH: Route Table.,0,2,E-998,0,#N/A,#N/A
14492,11/22/2017 16:50,0,741,5614,67084,NO MATCH: Foreign Rte Table(Det:741;Sys:2).,0,2,E-998,0,#N/A,#N/A
14911,11/22/2017 16:53,0,0,5614,67101,MARKED: Hot/Run List deleted by Timeout.,0,2,E-998,0,#N/A,#N/A
14915,11/22/2017 16:54,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
42248,11/27/2017 10:39,0,730,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.006235,-118.429199
42249,11/27/2017 10:39,0,730,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,34.006235,-118.429199
42250,11/27/2017 10:39,0,730,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.006235,-118.429199
42251,11/27/2017 10:39,0,730,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,34.006235,-118.429199
42252,11/27/2017 10:39,312,730,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,34.006235,-118.429199
42268,11/27/2017 10:40,0,830,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.005625,-118.4302
42269,11/27/2017 10:40,0,830,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,34.005625,-118.4302
42270,11/27/2017 10:40,0,830,5614,67097,CHANGED: Run List.,0,2,E-998,0,34.005625,-118.4302
42271,11/27/2017 10:40,0,830,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.005625,-118.4302
42272,11/27/2017 10:40,0,830,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0,34.005625,-118.4302
42273,11/27/2017 10:40,311,830,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,34.005625,-118.4302
42283,11/27/2017 10:40,0,828,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.004305,-118.432582
42284,11/27/2017 10:40,310,828,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,34.004305,-118.432582
42299,11/27/2017 10:40,0,726,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.003723,-118.433821
42300,11/27/2017 10:40,310,726,5614,68112,ISSUED: Cancel prty(EV# 1).,0,2,E-998,0,34.003723,-118.433821
42303,11/27/2017 10:40,0,724,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.003501,-118.434269
42304,11/27/2017 10:40,358,724,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,34.003501,-118.434269
42313,11/27/2017 10:41,0,722,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.001533,-118.438209
42314,11/27/2017 10:41,357,722,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,34.001533,-118.438209
42330,11/27/2017 10:41,0,720,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.999969,-118.441279
42331,11/27/2017 10:41,308,720,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,33.999969,-118.441279
42334,11/27/2017 10:41,0,718,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.999676,-118.441872
42335,11/27/2017 10:41,307,718,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,33.999676,-118.441872
42355,11/27/2017 10:41,0,717,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.998518,-118.444173
42356,11/27/2017 10:41,307,717,5614,68112,ISSUED: Cancel prty(EV# 1).,0,2,E-998,0,33.998518,-118.444173
42360,11/27/2017 10:41,0,716,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.997729,-118.445729
42361,11/27/2017 10:41,306,716,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,33.997729,-118.445729
42367,11/27/2017 10:42,0,714,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.997363,-118.446482
42368,11/27/2017 10:42,0,714,5614,67102,MARKED: Hot/Run List deleted at EOR.,0,2,E-998,0,33.997363,-118.446482
42369,11/27/2017 10:42,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
43135,11/27/2017 11:00,0,714,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.997363,-118.446482
43136,11/27/2017 11:00,0,714,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,33.997363,-118.446482
43137,11/27/2017 11:00,0,714,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,33.997363,-118.446482
43138,11/27/2017 11:00,0,714,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0,33.997363,-118.446482
43139,11/27/2017 11:00,0,714,5614,67102,MARKED: Hot/Run List deleted at EOR.,0,2,E-998,0,33.997363,-118.446482
43140,11/27/2017 11:00,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
43141,11/27/2017 11:00,0,715,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.997545,-118.445706
43142,11/27/2017 11:00,0,715,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,33.997545,-118.445706
43143,11/27/2017 11:00,0,715,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,33.997545,-118.445706
43144,11/27/2017 11:00,0,715,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,33.997545,-118.445706
43145,11/27/2017 11:00,307,715,5614,68111,ISSUED: Start prty(EV# 2).,0,2,E-998,0,33.997545,-118.445706
43189,11/27/2017 11:01,0,723,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.001463,-118.43796
43190,11/27/2017 11:01,358,723,5614,68111,ISSUED: Start prty(EV# 2).,0,2,E-998,0,34.001463,-118.43796
43238,11/27/2017 11:01,0,829,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.004347,-118.432213
43239,11/27/2017 11:01,311,829,5614,68111,ISSUED: Start prty(EV# 2).,0,2,E-998,0,34.004347,-118.432213
43264,11/27/2017 11:02,0,831,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.005622,-118.429851
43265,11/27/2017 11:02,360,831,5614,68114,IGNORED: No start prty found.,0,2,E-998,0,34.005622,-118.429851
43266,11/27/2017 11:02,0,732,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.005932,-118.429376
43267,11/27/2017 11:02,313,732,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,34.005932,-118.429376
43279,11/27/2017 11:02,0,733,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.006256,-118.428796
43280,11/27/2017 11:02,0,733,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,34.006256,-118.428796
43281,11/27/2017 11:02,0,733,5614,67097,CHANGED: Run List.,0,2,E-998,0,34.006256,-118.428796
43282,11/27/2017 11:02,0,733,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.006256,-118.428796
43283,11/27/2017 11:02,0,733,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0,34.006256,-118.428796
43284,11/27/2017 11:02,312,733,5614,68111,ISSUED: Start prty(EV# 2).,0,2,E-998,0,34.006256,-118.428796
43309,11/27/2017 11:02,0,734,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.008716,-118.42445
43310,11/27/2017 11:02,0,734,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,34.008716,-118.42445
43311,11/27/2017 11:02,0,734,5614,67097,CHANGED: Run List.,0,2,E-998,0,34.008716,-118.42445
43312,11/27/2017 11:02,0,734,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.008716,-118.42445
43313,11/27/2017 11:02,0,734,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,34.008716,-118.42445
